[2025-09-26T15:56:06.549] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T15:16:34.544] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/4 | Método: PUT | Status: 200
[2025-09-27T15:16:56.815] Usuario: admin@tuapp.com | Endpoint: /api/categorias/desactivar/1 | Método: PUT | Status: 204
[2025-09-27T15:17:54.459] Usuario: admin@tuapp.com | Endpoint: /api/categorias/actualizar/1 | Método: PUT | Status: 200
[2025-09-27T16:12:35.927] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T16:12:53.534] Usuario: admin@tuapp.com | Endpoint: /api/productos/1 | Método: GET | Status: 200
[2025-09-27T16:16:41.493] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T16:17:00.236] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/apellido | Método: GET | Status: 200
[2025-09-27T16:21:37.690] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T16:22:02.278] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/apellido | Método: GET | Status: 200
[2025-09-27T16:26:21.791] Usuario: ANONIMO | Endpoint: /api/auth/login | Método: POST | Status: 200
[2025-09-27T16:26:43.596] Usuario: admin@tuapp.com | Endpoint: /api/usuarios/rango-fecha-creacion | Método: GET | Status: 200
